"EFN","Phy","matched_name","RangeY","domY","mycoY"
1,"Cassia bicapsularis","Cassia bicapsularis",FALSE,FALSE,FALSE
1,"Cassia biflora","Cassia biflora",FALSE,FALSE,FALSE
1,"Cassia calyciodes","Cassia calycioides",FALSE,FALSE,FALSE
1,"Cassia canca","Cassia canca",FALSE,FALSE,FALSE
1,"Cassia chaemaecrista","Cassia chamaecrista",FALSE,FALSE,FALSE
1,"Cassia colubrina",NA,FALSE,FALSE,FALSE
1,"Cassia coluteoides","Cassia coluteoides",FALSE,FALSE,FALSE
1,"Cassia covesii","Cassia covesii",FALSE,FALSE,FALSE
1,"Cassia dimidists","Cassia dimidiata",FALSE,FALSE,FALSE
1,"Cassia divaricata","Cassia divaricata",FALSE,FALSE,FALSE
1,"Cassia fasciculata","Cassia fasciculata",FALSE,FALSE,FALSE
1,"Cassia floribunda","Cassia floribunda",FALSE,FALSE,FALSE
1,"Cassia fruticosa","Cassia fruticosa",FALSE,FALSE,FALSE
1,"Cassia gaudichaudi","Cassia gaudichaudii",FALSE,FALSE,FALSE
1,"Cassia glandulosa","Cassia glandulosa",FALSE,FALSE,FALSE
1,"Cassia glauca","Cassia glauca",FALSE,FALSE,FALSE
1,"Cassia hebecarpa","Cassia hebecarpa",FALSE,FALSE,FALSE
1,"Cassia hochstetterii","Cassia hochstetteri",FALSE,FALSE,FALSE
1,"Cassia hookeriana","Cassia hookeriana",FALSE,FALSE,FALSE
1,"Cassia kleinei","Cassia kleinii",FALSE,FALSE,FALSE
1,"Cassia laevigata","Cassia laevigata",FALSE,FALSE,FALSE
1,"Cassia leptocarpa","Cassia leptocarpa",FALSE,FALSE,FALSE
1,"Cassia leschenaultiana","Cassia leschenaultiana",FALSE,FALSE,FALSE
1,"Cassia marilandica","Cassia marilandica",FALSE,FALSE,FALSE
1,"Cassia mimosoides","Cassia mimosoides",FALSE,FALSE,FALSE
1,"Cassia mindanaensis","Cassia mindanaensis",FALSE,FALSE,FALSE
1,"Cassia multijuga","Cassia multijuga",FALSE,FALSE,FALSE
1,"Cassia negrensis","Cassia negrensis",FALSE,FALSE,FALSE
1,"Cassia nictitans","Cassia nictitans",FALSE,FALSE,FALSE
