"EFN","Phy","matched_name"
1,"Aegiphila sellowiana","Aegiphila sellowiana"
1,"Aerides falcatum","Aerides falcatum"
1,"Aerides sp.","Aerides lour."
1,"Affonsea hirsuta","Affonsea hirsuta"
1,"Affonsea sp.","Affonsea a.st.-hil."
1,"Ahernia glandulosa","Ahernia glandulosa"
1,"Ailanthus altissima","Ailanthus altissima"
1,"Ailanthus arvense","Ailanthus desf."
1,"Ailanthus glandulosa","Ailanthus glandulosa"
1,"Albizia adinocephala","Albizia adinocephala"
1,"Albizia amara","Albizia amara"
1,"Albizia caribeae","Albizia caribaea"
1,"Albizia chinensis","Albizia chinensis"
1,"Albizia coreana","Albizia coreana"
1,"Albizia corniculata","Albizia corniculata"
1,"Albizia falcataria","Albizia falcataria"
1,"Albizia guachapele","Albizia guachapele"
1,"Albizia idiopoda","Albizia idiopoda"
1,"Albizia julibrissin","Albizia julibrissin"
1,"Albizia kalkora","Albizia kalkora"
1,"Albizia lebbeck","Albizia lebbeck"
1,"Albizia lebbekoides","Albizia lebbekoides"
1,"Albizia lophantha","Albizia lophantha"
1,"Albizia moluccana","Albizia moluccana"
1,"Albizia pedicellata","Albizia pedicellata"
1,"Albizia procera","Albizia procera"
1,"Albizia retusa","Albizia retusa"
1,"Albizia saponaria","Albizia saponaria"
1,"Albizia sp.","Albizia sp."
1,"Albizia stipulata","Albizia stipulata"
1,"Albizia tomentosa","Albizia tomentosa"
1,"Alchemilla sp.","Alchemilla sp."
1,"Alchornea cordifolia","Alchornea cordifolia"
1,"Alchornea costaricensis","Alchornea costaricensis"
1,"Alchornea glandulosa","Alchornea glandulosa"
1,"Alchornea grandis","Alchornea grandis"
1,"Alchornea latifolia","Alchornea latifolia"
1,"Alchornea laxiflora","Alchornea laxiflora"
1,"Alchornea rugosa","Alchornea rugosa"
1,"Alchornea tiliifolia","Alchornea tiliifolia"
1,"Alchornea trewioides","Alchornea trewioides"
1,"Alchornea triplinervia","Alchornea triplinervia"
1,"Alchorneopsis floribunda","Alchorneopsis floribunda"
1,"Aleurites moluccana","Aleurites moluccana"
1,"Aleurites rockinghamensis","Aleurites rockinghamensis"
1,"Alexa canaracuensis","Alexa canaracunensis"
1,"Alexa grandiflora","Alexa grandiflora"
1,"Alexa wachenheimii","Alexa wachenheimii"
1,"Alisma sp.","Alisma sp."
1,"Allamandra cathartica","Allamanda cathartica"
1,"Allamandra neriifolia","Allamanda neriifolia"
1,"Alocasia grata","Alocasia grata"
1,"Alocasia putzeysii","Alocasia putzeysii"
1,"Alsomitra sp.","Alsomitra (blume)"
1,"Alvaradoa* sp.","Alvaradoa liebm."
1,"Alyogyne hakeifolia","Alyogyne hakeifolia"
1,"Amaioua sp","Amaioua aubl."
1,"Amasonia spp.","Amasonia l.f."
1,"Amphilophium askersonii","Amphilophium aschersonii"
1,"Amphilophium bauhinoides","Amphilophium bauhinioides"
1,"Amphilophium buccinatorium","Amphilophium buccinatorium"
1,"Amphilophium crucigerum","Amphilophium crucigerum"
1,"Amphilophium cynanchoides","Amphilophium cynanchoides"
1,"Amphilophium elongatum","Amphilophium elongatum"
1,"Amphilophium frutescens","Amphilophium frutescens"
1,"Amphilophium granulosum","Amphilophium granulosum"
1,"Amphilophium laevis","Amphilophium laevis"
1,"Amphilophium magnoliifolium","Amphilophium magnoliifolium"
1,"Amphilophium mansoana","Amphilophium mansoanum"
1,"Amphilophium nunezii","Amphilophium nunezii"
1,"Amphilophium paniculatum","Amphilophium paniculatum"
1,"Amphilophium pannosum","Amphilophium pannosum"
1,"Amphilophium parkeri","Amphilophium parkeri"
1,"Amphilophium rodriguesii","Amphilophium rodriguesii"
1,"Amphirrhox longifolia","Amphirrhox longifolia"
1,"Amphitecna latifolia","Amphitecna latifolia"
1,"Amphitecna tuxtlensis","Amphitecna tuxtlensis"
1,"Anacardium occidentale","Anacardium occidentale"
1,"Anadenanthera falcata","Anadenanthera falcata"
1,"Anadenanthera sp.","Anadenanthera speg."
1,"Ancistrocactus brevihamatus","Ancistrocactus brevihamatus"
1,"Ancistrocactus scheeri","Ancistrocactus scheeri"
1,"Ancistrocladus sp.","Ancistrocladus wall."
1,"Anda gomesii","Anda gomesii"
1,"Andropogon fovolarus","Andropogon foveolatus"
1,"Andropogon gayanensis","Andropogon cayanensis"
